Country,2019,2020,2021,2022,2023
Afghanistan,586.204,611.268,443.385,n/a,n/a
Albania,"5,345.06","5,278.99","6,259.76","6,657.64","8,057.49"
Algeria,"3,953.40","3,321.60","3,659.71","4,306.82","4,874.71"
Andorra,"40,688.49","36,973.85","41,806.88","41,084.87","44,107.32"
Angola,"2,612.25","1,709.28","2,169.65","3,438.15","2,550.00"
Antigua and Barbuda,"17,370.04","14,468.07","15,709.34","17,441.46","19,068.28"
Argentina,"10,054.02","8,571.94","10,631.67","13,619.88","13,297.43"
Armenia,"4,596.86","4,268.55","4,679.46","6,587.22","8,283.12"
Aruba,"31,096.32","23,565.55","28,813.14","33,032.45","35,717.95"
Australia,"54,289.07","53,094.49","63,841.72","64,813.85","63,487.05"
Austria,"50,195.32","48,857.08","53,528.71","52,191.77","58,013.27"
Azerbaijan,"4,826.35","4,240.84","5,418.01","7,750.88","7,529.70"
The Bahamas,"33,888.77","25,049.59","29,230.94","32,298.95","34,370.86"
Bahrain,"26,051.30","23,516.92","26,116.25","28,781.49","28,464.17"
Bangladesh,"2,154.23","2,270.35","2,497.74","2,730.85","2,621.29"
Barbados,"18,540.38","16,227.22","16,782.08","19,647.87","21,442.45"
Belarus,"6,831.52","6,515.65","7,294.90","7,868.91","7,477.29"
Belgium,"46,783.01","45,545.23","51,472.10","49,843.16","53,656.83"
Belize,"5,916.23","4,935.56","5,792.14","6,757.50","7,141.54"
Benin,"1,171.02","1,239.74","1,360.39","1,303.38","1,449.11"
Bhutan,"3,322.53","3,247.93","3,245.41","3,491.98","3,500.49"
Bolivia,"3,591.40","3,172.56","3,449.38","3,705.27","3,857.84"
Bosnia and Herzegovina,"5,867.26","5,800.48","6,800.49","7,059.99","7,778.30"
Botswana,"6,679.19","5,863.18","7,238.80","7,737.66","7,758.37"
Brazil,"9,364.24","7,344.53","8,165.64","9,455.33","10,413.00"
Brunei Darussalam,"29,865.28","27,174.73","31,781.30","37,850.98","34,383.53"
Bulgaria,"9,914.39","10,170.72","12,300.19","13,821.21","16,086.57"
Burkina Faso,772.227,833.783,891.781,831.658,888.029
Burundi,261.294,259.906,273.956,310.986,245.811
Cabo Verde,"4,053.65","3,359.53","3,665.20","4,048.44","4,502.78"
Cambodia,"1,736.32","1,643.76","1,679.92","1,801.87","1,915.63"
Cameroon,"1,533.16","1,539.35","1,667.32","1,587.95","1,721.95"
Canada,"46,449.96","43,383.71","52,387.81","55,036.52","53,246.98"
Central African Republic,480.145,494.489,525.164,490.94,539.24
Chad,689.327,654.882,697.038,694.594,702.845
Chile,"14,567.99","13,067.74","16,092.15","15,166.47","17,253.75"
China,"10,170.06","10,525.00","12,572.07","12,669.62","12,541.40"
Colombia,"6,540.14","5,363.07","6,239.27","6,658.12","6,975.87"
Comoros,"1,359.75","1,357.29","1,395.03","1,294.35","1,377.02"
Democratic Republic of the Congo,578.891,536.45,611.493,679.579,675.477
Republic of Congo,"3,060.09","2,453.19","2,789.70","2,838.37","2,857.61"
Costa Rica,"12,691.13","12,163.93","12,472.83","13,074.91","16,213.26"
Côte d'Ivoire,"2,279.71","2,339.73","2,597.70","2,473.05","2,728.08"
Croatia,"15,089.37","14,231.06","17,770.90","18,305.03","20,876.46"
Cyprus,"29,624.71","28,141.95","31,726.32","31,459.34","34,790.58"
Czech Republic,"23,616.01","22,984.46","26,794.63","26,832.30","30,474.53"
Denmark,"59,678.60","60,926.88","69,466.55","68,294.91","71,402.14"
Djibouti,"3,172.75","3,223.83","3,378.40","3,604.10","3,761.24"
Dominica,"8,466.41","6,872.22","7,530.37","8,462.28","9,356.05"
Dominican Republic,"8,595.18","7,553.51","8,962.31","10,711.16","11,248.79"
Ecuador,"6,260.60","5,670.33","5,978.92","6,389.42","6,500.05"
Egypt,"3,240.51","3,802.44","4,145.94","4,587.17","3,770.13"
El Salvador,"4,280.30","3,961.75","4,664.29","5,127.32","5,557.58"
Equatorial Guinea,"8,355.34","7,035.45","8,447.96","7,853.89","6,502.19"
Eritrea,566.731,n/a,n/a,n/a,n/a
Estonia,"23,584.26","23,546.32","27,716.90","28,136.26","30,998.32"
Eswatini,"4,031.72","3,535.09","4,164.80","4,201.90","3,995.03"
Ethiopia,948.851,969.014,974.185,"1,156.48","1,473.36"
Fiji,"6,084.97","4,926.67","4,758.65","5,474.30","6,024.78"
Finland,"48,667.72","49,168.16","53,664.91","51,029.52","54,507.14"
France,"41,924.84","40,529.09","45,201.23","42,349.89","46,315.20"
Gabon,"8,086.53","7,276.30","9,476.11","9,770.92","8,831.82"
The Gambia,768.921,747.886,820.584,841.947,903.293
Georgia,"4,693.66","4,263.13","4,995.15","6,670.73","8,164.86"
Germany,"46,810.28","46,711.98","51,460.99","48,756.31","52,823.58"
Ghana,"2,265.72","2,274.57","2,535.47","2,251.82","2,328.97"
Greece,"19,140.99","17,611.95","20,135.28","20,960.10","23,173.06"
Grenada,"10,834.50","9,273.20","9,926.49","10,694.77","11,436.94"
Guatemala,"4,388.50","4,337.78","4,708.38","5,097.59","5,407.24"
Guinea,986.528,"1,008.69","1,106.49","1,383.63","1,542.76"
Guinea-Bissau,836.954,838.847,930.098,905.854,"1,028.22"
Guyana,"6,594.38","6,952.70","9,707.00","18,353.12","20,564.64"
Haiti,"1,277.21","1,235.48","1,765.24","1,702.00","2,125.32"
Honduras,"2,568.06","2,380.03","2,796.45","3,062.20","3,245.02"
Hong Kong SAR,"48,277.98","46,446.06","49,842.47","48,154.40","51,168.05"
Hungary,"16,782.01","16,093.63","18,731.86","18,579.08","21,075.62"
Iceland,"69,137.16","59,224.83","69,404.81","74,590.51","78,836.85"
India,"2,050.16","1,913.22","2,238.13","2,391.87","2,612.45"
Indonesia,"4,194.09","3,932.33","4,362.68","4,798.12","5,108.94"
Islamic Republic of Iran,"2,908.92","2,326.66","3,409.83","4,043.41","4,233.99"
Iraq,"5,945.44","4,520.09","5,011.97","6,181.34","5,882.89"
Ireland,"80,613.71","85,786.69","101,983.64","103,311.01","112,247.71"
Israel,"43,723.26","44,320.72","51,804.70","54,336.84","53,195.88"
Italy,"33,628.16","31,784.81","35,717.38","34,084.52","37,146.23"
Jamaica,"5,781.79","5,072.60","5,354.83","6,197.80","6,830.87"
Japan,"40,547.97","40,132.96","39,933.01","33,853.80","33,949.71"
Jordan,"4,411.72","4,277.26","4,399.65","4,613.06","4,850.66"
Kazakhstan,"9,750.43","9,062.96","10,106.66","11,409.46","12,968.43"
Kenya,"2,107.74","2,067.99","2,208.69","2,245.28","2,187.65"
Kiribati,"1,492.13","1,492.10","1,877.59","1,821.55","1,968.03"
Korea,"31,902.42","31,728.31","35,142.27","32,418.34","33,147.23"
Kosovo,"4,433.00","4,297.83","5,324.31","5,332.37","5,912.08"
Kuwait,"28,513.12","22,682.90","28,834.43","36,092.39","32,215.03"
Kyrgyz Republic,"1,466.96","1,270.96","1,390.90","1,717.71","1,829.59"
Lao P.D.R.,"2,602.62","2,529.00","2,495.96","2,046.86","1,878.71"
Latvia,"17,889.75","18,106.33","21,014.99","21,946.92","24,929.18"
Lebanon,"7,421.49","3,588.71","3,044.80","3,283.41",n/a
Lesotho,"1,159.37","1,034.70","1,219.04","1,166.20","1,110.18"
Liberia,623.887,600.475,677.387,749.187,800.213
Libya,"10,532.11","7,062.56","5,249.50","5,577.01","5,872.22"
Lithuania,"19,600.56","20,347.62","23,728.30","24,988.69","28,481.99"
Luxembourg,"113,860.53","117,616.15","134,925.16","126,598.10","135,605.44"
Macao SAR,"81,231.55","37,270.80","44,091.80","31,539.49","54,295.66"
Madagascar,531.75,477.375,516.529,523.084,529.56
Malawi,543.685,567.59,580.967,567.454,579.701
Malaysia,"11,228.29","10,400.22","11,475.70","12,465.61","13,034.07"
Maldives,"15,060.82","9,892.12","14,029.91","15,962.49","17,558.75"
Mali,840.211,831.034,902.677,847.461,912.643
Malta,"32,405.73","29,618.07","35,069.22","34,819.27","38,715.19"
Marshall Islands,"5,244.74","5,465.26","5,804.07","5,839.97","6,141.23"
Mauritania,"1,987.27","2,076.43","2,332.90","2,284.93","2,337.91"
Mauritius,"11,407.85","9,005.35","9,080.26","10,227.04","11,751.51"
Mexico,"10,311.55","8,770.02","10,177.04","11,265.54","13,803.74"
Micronesia,"3,979.63","3,898.43","3,873.94","4,038.77","4,357.64"
Moldova,"4,376.65","4,377.54","5,293.21","5,726.33","6,410.93"
Mongolia,"4,309.05","3,965.10","4,482.85","4,953.55","5,348.07"
Montenegro,"8,911.27","7,688.55","9,433.03","9,820.09","11,338.80"
Morocco,"3,622.68","3,375.44","3,905.43","3,570.12","3,979.87"
Mozambique,508.164,454.063,501.507,581.038,647.135
Myanmar,"1,302.28","1,527.43","1,216.81","1,227.70","1,381.06"
Namibia,"5,099.43","4,225.73","4,879.20","4,854.45","4,785.68"
Nauru,"10,567.41","10,346.10","11,841.08","12,088.57","11,756.99"
Nepal,"1,185.68","1,139.19","1,241.34","1,354.07","1,352.61"
Netherlands,"52,672.50","52,222.36","58,960.71","57,427.76","61,769.70"
New Zealand,"42,287.72","41,307.21","48,792.62","47,226.10","48,071.75"
Nicaragua,"1,940.12","1,952.18","2,163.08","2,371.68","2,599.26"
Niger,554.124,568.606,593.802,592.241,630.8
Nigeria,"2,229.85","2,083.16","2,088.09","2,202.46","1,755.33"
North Macedonia,"6,073.00","5,986.55","6,698.16","6,599.90","7,672.01"
Norway,"76,303.68","68,275.28","90,540.80","105,825.93","99,266.30"
Oman,"19,069.31","17,076.32","19,479.40","23,240.14","21,265.63"
Pakistan,"1,500.68","1,376.51","1,565.58","1,650.28","1,471.10"
Palau,"15,876.32","14,624.10","13,165.72","13,941.39","15,113.30"
Panama,"16,526.42","13,342.72","15,540.80","17,409.63","18,493.47"
Papua New Guinea,"2,877.50","2,715.97","2,233.29","2,621.83","2,581.18"
Paraguay,"5,302.24","4,885.40","5,433.25","5,597.53","5,842.96"
Peru,"7,008.54","6,150.90","6,676.95","7,158.77","7,668.67"
Philippines,"3,512.20","3,325.84","3,576.11","3,623.59","3,859.19"
Poland,"15,694.59","15,792.61","18,008.15","18,342.68","22,393.03"
Portugal,"23,333.32","22,224.56","24,703.71","24,540.38","26,878.87"
Puerto Rico,"32,851.88","32,608.05","33,289.38","36,123.37","37,093.33"
Qatar,"63,007.70","50,962.50","65,380.86","83,521.00","81,968.34"
Romania,"12,928.15","13,021.96","14,874.18","15,821.13","18,413.47"
Russia,"11,555.27","10,180.66","12,617.86","15,645.69","13,005.71"
Rwanda,836.016,803.372,853.124,"1,004.72","1,031.69"
Samoa,"4,632.08","4,379.24","4,225.20","4,142.54","4,638.15"
San Marino,"48,043.86","45,640.98","54,733.24","52,447.43","58,540.80"
São Tomé and Príncipe,"1,953.57","2,181.87","2,370.31","2,413.09","2,904.72"
Saudi Arabia,"27,892.86","23,271.41","28,215.16","34,441.06","32,586.17"
Senegal,"1,436.22","1,465.24","1,603.35","1,569.55","1,714.65"
Serbia,"7,417.21","7,733.80","9,184.20","9,528.43","11,301.22"
Seychelles,"19,361.55","14,199.34","15,306.13","19,982.73","20,889.55"
Sierra Leone,521.396,508.812,509.482,479.777,414.962
Singapore,"66,070.47","61,274.01","77,710.07","82,807.65","87,884.16"
Slovak Republic,"19,396.97","19,539.38","21,747.29","21,263.25","24,471.09"
Slovenia,"26,138.90","25,617.87","29,338.09","28,526.62","32,350.02"
Solomon Islands,"2,417.33","2,236.42","2,194.65","2,204.61","2,285.40"
Somalia,655.442,622.951,647.762,667.318,717.406
South Africa,"6,622.63","5,672.28","6,983.51","6,684.48","6,190.74"
South Sudan,302.262,388.423,418.594,585.003,417.438
Spain,"29,603.30","26,968.37","30,563.55","29,799.75","33,090.24"
Sri Lanka,"4,082.69","3,852.39","3,996.57","3,342.00",n/a
St. Kitts and Nevis,"19,581.71","15,475.75","14,879.69","16,565.78","18,158.49"
St. Lucia,"11,773.43","8,496.10","10,295.00","12,703.96","13,572.26"
St. Vincent and the Grenadines,"8,234.20","7,851.36","7,873.23","8,538.69","9,359.90"
Sudan,777.066,777.259,764.588,723.032,533.845
Suriname,"6,662.87","4,786.83","4,896.07","5,687.18","5,667.11"
Sweden,"51,694.50","52,706.29","61,203.12","56,188.32","55,215.85"
Switzerland,"84,474.47","86,109.53","93,700.47","93,657.23","102,865.57"
Syria,n/a,n/a,n/a,n/a,n/a
Taiwan Province of China,"25,903.17","28,571.44","33,186.34","32,687.37","32,339.70"
Tajikistan,893.318,858.445,925.135,"1,066.75","1,180.06"
Tanzania,"1,077.74","1,130.14","1,170.91","1,252.88","1,326.63"
Thailand,"7,812.89","7,169.88","7,227.48","7,069.59","7,297.99"
Timor-Leste,"1,595.88","1,673.49","2,763.79","3,682.47","1,497.41"
Togo,848.341,876.511,964.325,919.575,"1,004.47"
Tonga,"5,092.87","4,887.49","4,695.16","4,977.97","5,487.67"
Trinidad and Tobago,"16,600.89","14,435.66","17,004.78","21,252.66","19,621.79"
Tunisia,"3,556.38","3,573.84","3,884.71","3,822.30","4,190.60"
Türkiye,"9,145.82","8,612.90","9,663.88","10,621.97","13,383.92"
Turkmenistan,"8,917.98","8,776.56","10,463.06","12,379.58","12,934.24"
Tuvalu,"5,046.83","4,820.26","5,571.91","5,452.06","5,772.92"
Uganda,951.523,920.065,"1,005.08","1,103.11","1,163.03"
Ukraine,"3,688.95","3,780.08","4,874.31","4,606.80","5,224.59"
United Arab Emirates,"43,981.61","37,648.96","43,438.52","51,399.96","50,602.33"
United Kingdom,"42,797.26","40,347.36","46,421.61","45,461.07","48,912.78"
United States,"65,077.30","63,577.34","70,159.77","76,343.25","80,412.41"
Uruguay,"17,636.70","15,198.37","17,333.61","20,022.14","21,377.63"
Uzbekistan,"1,812.74","1,776.27","2,013.97","2,279.97","2,509.16"
Vanuatu,"3,187.38","3,341.00","3,017.67","3,325.15","3,491.86"
Venezuela,"2,624.41","1,566.60","2,090.40","3,421.75","3,474.33"
Vietnam,"3,439.10","3,548.89","3,753.43","4,086.52","4,316.34"
West Bank and Gaza,"3,442.75","3,044.74","3,464.38",n/a,n/a
Yemen,702.286,633.311,590.136,706.679,617.67
Zambia,"1,268.12",956.832,"1,137.34","1,485.79","1,435.89"
Zimbabwe,"1,747.35","1,771.29","2,323.09","1,990.93","2,005.88"
