X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths
67.709953,33.93911,1,,Afghanistan,2022/09/11 05:20:45+00,33.93911,67.709953,195631,7787
20.1683,41.1533,2,,Albania,2022/09/11 05:20:45+00,41.1533,20.1683,330948,3584
1.6596,28.0339,3,,Algeria,2022/09/11 05:20:45+00,28.0339,1.6596,270532,6879
1.5218,42.5063,4,,Andorra,2022/09/11 05:20:45+00,42.5063,1.5218,46113,155
17.8739,-11.2027,5,,Angola,2022/09/11 05:20:45+00,-11.2027,17.8739,103131,1917
23.347,-71.9499,6,,Antarctica,2022/09/11 05:20:45+00,-71.9499,23.347,11,0
-61.7964,17.0608,7,,Antigua and Barbuda,2022/09/11 05:20:45+00,17.0608,-61.7964,8974,145
-63.6167,-38.4161,8,,Argentina,2022/09/11 05:20:45+00,-38.4161,-63.6167,9689861,129769
45.0382,40.0691,9,,Armenia,2022/09/11 05:20:45+00,40.0691,45.0382,436727,8662
149.0124,-35.4735,10,Australian Capital Territory,Australia,2022/09/11 05:20:45+00,-35.4735,149.0124,203680,125
151.2093,-33.8688,11,New South Wales,Australia,2022/09/11 05:20:45+00,-33.8688,151.2093,3463759,5046
130.8456,-12.4634,12,Northern Territory,Australia,2022/09/11 05:20:45+00,-12.4634,130.8456,96447,70
153.0251,-27.4698,13,Queensland,Australia,2022/09/11 05:20:45+00,-27.4698,153.0251,1620034,2048
138.6007,-34.9285,14,South Australia,Australia,2022/09/11 05:20:45+00,-34.9285,138.6007,758840,860
147.3272,-42.8821,15,Tasmania,Australia,2022/09/11 05:20:45+00,-42.8821,147.3272,246706,182
144.9631,-37.8136,16,Victoria,Australia,2022/09/11 05:20:45+00,-37.8136,144.9631,2586290,5469
115.8605,-31.9505,17,Western Australia,Australia,2022/09/11 05:20:45+00,-31.9505,115.8605,1139054,626
14.5501,47.5162,18,,Austria,2022/09/11 05:20:45+00,47.5162,14.5501,4984809,20678
47.5769,40.1431,19,,Azerbaijan,2022/09/11 05:20:45+00,40.1431,47.5769,817596,9852
-78.035889,25.025885,20,,Bahamas,2022/09/11 05:20:45+00,25.025885,-78.035889,37125,823
50.55,26.0275,21,,Bahrain,2022/09/11 05:20:45+00,26.0275,50.55,673693,1518
90.3563,23.685,22,,Bangladesh,2022/09/11 05:20:45+00,23.685,90.3563,2014577,29332
-59.5432,13.1939,23,,Barbados,2022/09/11 05:20:45+00,13.1939,-59.5432,101850,556
27.9534,53.7098,24,,Belarus,2022/09/11 05:20:45+00,53.7098,27.9534,994037,7118
4.4024,51.2195,25,Antwerp,Belgium,2022/09/11 05:20:45+00,51.2195,4.4024,724170,0
4.3517,50.8503,26,Brussels,Belgium,2022/09/11 05:20:45+00,50.8503,4.3517,486779,0
3.7373,51.0362,27,East Flanders,Belgium,2022/09/11 05:20:45+00,51.0362,3.7373,609374,0
4.5833,50.9167,28,Flemish Brabant,Belgium,2022/09/11 05:20:45+00,50.9167,4.5833,439232,0
4.0621,50.5257,29,Hainaut,Belgium,2022/09/11 05:20:45+00,50.5257,4.0621,494027,0
5.8492,50.4496,30,Liege,Belgium,2022/09/11 05:20:45+00,50.4496,5.8492,401822,0
5.342,50.9739,31,Limburg,Belgium,2022/09/11 05:20:45+00,50.9739,5.342,331402,0
5.4677,50.0547,32,Luxembourg,Belgium,2022/09/11 05:20:45+00,50.0547,5.4677,116359,0
4.8221,50.331,33,Namur,Belgium,2022/09/11 05:20:45+00,50.331,4.8221,192313,0
,,34,Unknown,Belgium,2022/09/11 05:20:45+00,,,60821,32575
4.35,50.4,35,Walloon Brabant,Belgium,2022/09/11 05:20:45+00,50.4,4.35,165055,0
3.1458,51.0536,36,West Flanders,Belgium,2022/09/11 05:20:45+00,51.0536,3.1458,475845,0
-88.4976,17.1899,37,,Belize,2022/09/11 05:20:45+00,17.1899,-88.4976,68473,680
2.3158,9.3077,38,,Benin,2022/09/11 05:20:45+00,9.3077,2.3158,27490,163
90.4336,27.5142,39,,Bhutan,2022/09/11 05:20:45+00,27.5142,90.4336,61233,21
-63.5887,-16.2902,40,,Bolivia,2022/09/11 05:20:45+00,-16.2902,-63.5887,1105812,22216
17.6791,43.9159,41,,Bosnia and Herzegovina,2022/09/11 05:20:45+00,43.9159,17.6791,397098,16090
24.6849,-22.3285,42,,Botswana,2022/09/11 05:20:45+00,-22.3285,24.6849,325931,2786
-70.812,-9.0238,43,Acre,Brazil,2022/09/11 05:20:45+00,-9.0238,-70.812,149378,2027
-36.782,-9.5713,44,Alagoas,Brazil,2022/09/11 05:20:45+00,-9.5713,-36.782,320552,7118
-52.003,0.902,45,Amapa,Brazil,2022/09/11 05:20:45+00,0.902,-52.003,178178,2159
-65.8561,-3.4168,46,Amazonas,Brazil,2022/09/11 05:20:45+00,-3.4168,-65.8561,614752,14304
-41.7007,-12.5797,47,Bahia,Brazil,2022/09/11 05:20:45+00,-12.5797,-41.7007,1689830,30675
-39.3206,-5.4984,48,Ceara,Brazil,2022/09/11 05:20:45+00,-5.4984,-39.3206,1382048,27609
-47.8645,-15.7998,49,Distrito Federal,Brazil,2022/09/11 05:20:45+00,-15.7998,-47.8645,837928,11825
-40.3089,-19.1834,50,Espirito Santo,Brazil,2022/09/11 05:20:45+00,-19.1834,-40.3089,1214891,14803
-49.8362,-15.827,51,Goias,Brazil,2022/09/11 05:20:45+00,-15.827,-49.8362,1685781,27505
-45.2744,-4.9609,52,Maranhao,Brazil,2022/09/11 05:20:45+00,-4.9609,-45.2744,469805,10988
-56.9211,-12.6819,53,Mato Grosso,Brazil,2022/09/11 05:20:45+00,-12.6819,-56.9211,827903,14935
-54.7852,-20.7722,54,Mato Grosso do Sul,Brazil,2022/09/11 05:20:45+00,-20.7722,-54.7852,578853,10818
-44.555,-18.5122,55,Minas Gerais,Brazil,2022/09/11 05:20:45+00,-18.5122,-44.555,3874629,63659
-54.9306,-1.9981,56,Para,Brazil,2022/09/11 05:20:45+00,-1.9981,-54.9306,834883,18812
-36.782,-7.24,57,Paraiba,Brazil,2022/09/11 05:20:45+00,-7.24,-36.782,651816,10400
-52.0215,-25.2521,58,Parana,Brazil,2022/09/11 05:20:45+00,-25.2521,-52.0215,2740391,45182
-36.9541,-8.8137,59,Pernambuco,Brazil,2022/09/11 05:20:45+00,-8.8137,-36.9541,1052904,22240
-42.7289,-7.7183,60,Piaui,Brazil,2022/09/11 05:20:45+00,-7.7183,-42.7289,400100,7944
-36.9541,-5.4026,61,Rio Grande do Norte,Brazil,2022/09/11 05:20:45+00,-5.4026,-36.9541,552885,8449
-51.2177,-30.0346,62,Rio Grande do Sul,Brazil,2022/09/11 05:20:45+00,-30.0346,-51.2177,2721406,40935
-43.1729,-22.9068,63,Rio de Janeiro,Brazil,2022/09/11 05:20:45+00,-22.9068,-43.1729,2500526,75558
-63.5806,-11.5057,64,Rondonia,Brazil,2022/09/11 05:20:45+00,-11.5057,-63.5806,455188,7354
-62.0751,-2.7376,65,Roraima,Brazil,2022/09/11 05:20:45+00,-2.7376,-62.0751,174921,2173
-50.2189,-27.2423,66,Santa Catarina,Brazil,2022/09/11 05:20:45+00,-27.2423,-50.2189,1868495,22384
-46.6333,-23.5505,67,Sao Paulo,Brazil,2022/09/11 05:20:45+00,-23.5505,-46.6333,6051911,174325
-37.3857,-10.5741,68,Sergipe,Brazil,2022/09/11 05:20:45+00,-10.5741,-37.3857,342852,6433
-48.2982,-10.1753,69,Tocantins,Brazil,2022/09/11 05:20:45+00,-10.1753,-48.2982,343933,4199
114.7277,4.5353,70,,Brunei,2022/09/11 05:20:45+00,4.5353,114.7277,223059,225
25.4858,42.7339,71,,Bulgaria,2022/09/11 05:20:45+00,42.7339,25.4858,1248035,37646
-1.5616,12.2383,72,,Burkina Faso,2022/09/11 05:20:45+00,12.2383,-1.5616,21128,387
95.956,21.9162,73,,Burma,2022/09/11 05:20:45+00,21.9162,95.956,616663,19442
29.9189,-3.3731,74,,Burundi,2022/09/11 05:20:45+00,-3.3731,29.9189,49370,38
-23.0418,16.5388,75,,Cabo Verde,2022/09/11 05:20:45+00,16.5388,-23.0418,62341,410
104.9167,11.55,76,,Cambodia,2022/09/11 05:20:45+00,11.55,104.9167,137705,3056
11.5021,3.848,77,,Cameroon,2022/09/11 05:20:45+00,3.848,11.5021,121652,1935
-116.5765,53.9333,78,Alberta,Canada,2022/09/11 05:20:45+00,53.9333,-116.5765,603501,4832
-127.6476,53.7267,79,British Columbia,Canada,2022/09/11 05:20:45+00,53.7267,-127.6476,383054,4183
,,80,Diamond Princess,Canada,2020/12/21 13:27:30+00,,,0,1
,,81,Grand Princess,Canada,2020/12/21 13:27:30+00,,,13,0
-98.8139,53.7609,82,Manitoba,Canada,2022/09/11 05:20:45+00,53.7609,-98.8139,148903,2118
-66.4619,46.5653,83,New Brunswick,Canada,2022/09/11 05:20:45+00,46.5653,-66.4619,75741,472
-57.6604,53.1355,84,Newfoundland and Labrador,Canada,2022/09/11 05:20:45+00,53.1355,-57.6604,51329,231
-124.8457,64.8255,85,Northwest Territories,Canada,2022/09/11 05:20:45+00,64.8255,-124.8457,11511,22
-63.7443,44.682,86,Nova Scotia,Canada,2022/09/11 05:20:45+00,44.682,-63.7443,122458,504
-83.1076,70.2998,87,Nunavut,Canada,2022/09/11 05:20:45+00,70.2998,-83.1076,3531,7
-85.3232,51.2538,88,Ontario,Canada,2022/09/11 05:20:45+00,51.2538,-85.3232,1442991,14193
-63.4168,46.5107,89,Prince Edward Island,Canada,2022/09/11 05:20:45+00,46.5107,-63.4168,50594,56
-73.5491,52.9399,90,Quebec,Canada,2022/09/11 05:20:45+00,52.9399,-73.5491,1185085,16479
,,91,Repatriated Travellers,Canada,2022/09/11 05:20:45+00,,,13,0
-106.4509,52.9399,92,Saskatchewan,Canada,2022/09/11 05:20:45+00,52.9399,-106.4509,141815,1479
-135,64.2823,93,Yukon,Canada,2022/09/11 05:20:45+00,64.2823,-135,4857,30
20.9394,6.6111,94,,Central African Republic,2022/09/11 05:20:45+00,6.6111,20.9394,14883,113
18.7322,15.4542,95,,Chad,2022/09/11 05:20:45+00,15.4542,18.7322,7549,193
-70.3975,-23.6509,96,Antofagasta,Chile,2022/09/11 05:20:45+00,-23.6509,-70.3975,164080,1868
-72.3311,-38.9489,97,Araucania,Chile,2022/09/11 05:20:45+00,-38.9489,-72.3311,262062,2705
-69.4785,-18.594,98,Arica y Parinacota,Chile,2022/09/11 05:20:45+00,-18.594,-69.4785,71886,855
-70.0503,-27.5661,99,Atacama,Chile,2022/09/11 05:20:45+00,-27.5661,-70.0503,100140,670
-73.7669,-45.9864,100,Aysen,Chile,2022/09/11 05:20:45+00,-45.9864,-73.7669,31242,196
-72.1416,-37.4464,101,Biobio,Chile,2022/09/11 05:20:45+00,-37.4464,-72.1416,445125,4500
-71.3389,-29.959,102,Coquimbo,Chile,2022/09/11 05:20:45+00,-29.959,-71.3389,184536,1821
-72.1416,-41.9198,103,Los Lagos,Chile,2022/09/11 05:20:45+00,-41.9198,-72.1416,223851,2415
-72.3311,-40.231,104,Los Rios,Chile,2022/09/11 05:20:45+00,-40.231,-72.3311,129541,1303
-70.9863,-52.368,105,Magallanes,Chile,2022/09/11 05:20:45+00,-52.368,-70.9863,61701,744
-71.6885,-35.5183,106,Maule,Chile,2022/09/11 05:20:45+00,-35.5183,-71.6885,304106,3097
-70.6505,-33.4376,107,Metropolitana,Chile,2022/09/11 05:20:45+00,-33.4376,-70.6505,1730530,29539
-71.7622,-36.7226,108,Nuble,Chile,2022/09/11 05:20:45+00,-36.7226,-71.7622,131162,1188
-71.0022,-34.5755,109,OHiggins,Chile,2022/09/11 05:20:45+00,-34.5755,-71.0022,194717,2667
-69.5132,-19.9232,110,Tarapaca,Chile,2022/09/11 05:20:45+00,-19.9232,-69.5132,102046,1131
,,111,Unknown,Chile,2022/09/11 05:20:45+00,,,42,2
-71.6127,-33.0472,112,Valparaiso,Chile,2022/09/11 05:20:45+00,-33.0472,-71.6127,423034,6048
117.2264,31.8257,113,Anhui,China,2022/09/11 05:20:45+00,31.8257,117.2264,1506,6
116.4142,40.1824,114,Beijing,China,2022/09/11 05:20:45+00,40.1824,116.4142,4088,9
107.874,30.0572,115,Chongqing,China,2022/09/11 05:20:45+00,30.0572,107.874,1012,6
117.9874,26.0789,116,Fujian,China,2022/09/11 05:20:45+00,26.0789,117.9874,4176,1
104.2861,35.7518,117,Gansu,China,2022/09/11 05:20:45+00,35.7518,104.2861,1348,2
113.4244,23.3417,118,Guangdong,China,2022/09/11 05:20:45+00,23.3417,113.4244,9642,8
108.7881,23.8298,119,Guangxi,China,2022/09/11 05:20:45+00,23.8298,108.7881,2300,2
106.8748,26.8154,120,Guizhou,China,2022/09/11 05:20:45+00,26.8154,106.8748,220,2
109.7453,19.1959,121,Hainan,China,2022/09/11 05:20:45+00,19.1959,109.7453,8944,6
114.9042,37.8957,122,Hebei,China,2022/09/11 05:20:45+00,37.8957,114.9042,2027,7
127.7615,47.862,123,Heilongjiang,China,2022/09/11 05:20:45+00,47.862,127.7615,3224,13
113.614,33.882,124,Henan,China,2022/09/11 05:20:45+00,33.882,113.614,3316,22
114.2,22.3,125,Hong Kong,China,2022/09/11 05:20:45+00,22.3,114.2,1642941,9788
112.2707,30.9756,126,Hubei,China,2022/09/11 05:20:45+00,30.9756,112.2707,68427,4512
111.7088,27.6104,127,Hunan,China,2022/09/11 05:20:45+00,27.6104,111.7088,1442,4
113.9448,44.0935,128,Inner Mongolia,China,2022/09/11 05:20:45+00,44.0935,113.9448,2694,1
119.455,32.9711,129,Jiangsu,China,2022/09/11 05:20:45+00,32.9711,119.455,2367,0
115.7221,27.614,130,Jiangxi,China,2022/09/11 05:20:45+00,27.614,115.7221,1489,1
126.1923,43.6661,131,Jilin,China,2022/09/11 05:20:45+00,43.6661,126.1923,40329,5
122.6085,41.2956,132,Liaoning,China,2022/09/11 05:20:45+00,41.2956,122.6085,1867,2
113.55,22.1667,133,Macau,China,2022/09/11 05:20:45+00,22.1667,113.55,793,6
106.1655,37.2692,134,Ningxia,China,2022/09/11 05:20:45+00,37.2692,106.1655,122,0
95.9956,35.7452,135,Qinghai,China,2022/09/11 05:20:45+00,35.7452,95.9956,231,0
108.8701,35.1917,136,Shaanxi,China,2022/09/11 05:20:45+00,35.1917,108.8701,3712,3
118.1498,36.3427,137,Shandong,China,2022/09/11 05:20:45+00,36.3427,118.1498,3038,7
121.4491,31.202,138,Shanghai,China,2022/09/11 05:20:45+00,31.202,121.4491,63928,595
112.2922,37.5777,139,Shanxi,China,2022/09/11 05:20:45+00,37.5777,112.2922,469,0
102.7103,30.6171,140,Sichuan,China,2022/09/11 05:20:45+00,30.6171,102.7103,4642,3
117.323,39.3054,141,Tianjin,China,2022/09/11 05:20:45+00,39.3054,117.323,2244,3
88.0924,31.6927,142,Tibet,China,2022/09/11 05:20:45+00,31.6927,88.0924,1191,0
,,143,Unknown,China,2022/09/11 05:20:45+00,,,725051,0
85.2401,41.1129,144,Xinjiang,China,2022/09/11 05:20:45+00,41.1129,85.2401,1151,3
101.487,24.974,145,Yunnan,China,2022/09/11 05:20:45+00,24.974,101.487,2312,2
120.0934,29.1832,146,Zhejiang,China,2022/09/11 05:20:45+00,29.1832,120.0934,3394,1
-71.5724,-1.4429,147,Amazonas,Colombia,2022/09/11 05:20:45+00,-1.4429,-71.5724,7810,265
-75.3412,7.1986,148,Antioquia,Colombia,2022/09/11 05:20:45+00,7.1986,-75.3412,942940,18479
-70.7105,7.0762,149,Arauca,Colombia,2022/09/11 05:20:45+00,7.0762,-70.7105,16947,551
-74.8741,10.6966,150,Atlantico,Colombia,2022/09/11 05:20:45+00,10.6966,-74.8741,415772,10199
-74.03,8.6704,151,Bolivar,Colombia,2022/09/11 05:20:45+00,8.6704,-74.03,202788,3265
-73.362,5.4545,152,Boyaca,Colombia,2022/09/11 05:20:45+00,5.4545,-73.362,129252,2860
-75.2479,5.2983,153,Caldas,Colombia,2022/09/11 05:20:45+00,5.2983,-75.2479,119300,2563
-74.0721,4.711,154,Capital District,Colombia,2022/09/11 05:20:45+00,4.711,-74.0721,1852256,29795
-73.8419,0.8699,155,Caqueta,Colombia,2022/09/11 05:20:45+00,0.8699,-73.8419,25581,1037
-71.5724,5.7589,156,Casanare,Colombia,2022/09/11 05:20:45+00,5.7589,-71.5724,42801,1022
-76.826,2.705,157,Cauca,Colombia,2022/09/11 05:20:45+00,2.705,-76.826,76115,1843
-73.6536,9.3373,158,Cesar,Colombia,2022/09/11 05:20:45+00,9.3373,-73.6536,108666,2681
-76.826,5.2528,159,Choco,Colombia,2022/09/11 05:20:45+00,5.2528,-76.826,18828,429
-75.574,8.0493,160,Cordoba,Colombia,2022/09/11 05:20:45+00,8.0493,-75.574,121918,3950
-74.03,5.026,161,Cundinamarca,Colombia,2022/09/11 05:20:45+00,5.026,-74.03,327597,7354
-68.5247,2.5854,162,Guainia,Colombia,2022/09/11 05:20:45+00,2.5854,-68.5247,2792,37
-73.2603,1.0654,163,Guaviare,Colombia,2022/09/11 05:20:45+00,1.0654,-73.2603,5655,105
-75.5277,2.5359,164,Huila,Colombia,2022/09/11 05:20:45+00,2.5359,-75.5277,102994,3579
-72.5205,11.3548,165,La Guajira,Colombia,2022/09/11 05:20:45+00,11.3548,-72.5205,57849,1543
-74.4057,10.4113,166,Magdalena,Colombia,2022/09/11 05:20:45+00,10.4113,-74.4057,117366,3643
-73.0877,3.272,167,Meta,Colombia,2022/09/11 05:20:45+00,3.272,-73.0877,107310,2587
-77.3579,1.2892,168,Narino,Colombia,2022/09/11 05:20:45+00,1.2892,-77.3579,107617,3376
-72.8988,7.9463,169,Norte de Santander,Colombia,2022/09/11 05:20:45+00,7.9463,-72.8988,124246,5166
-75.5277,0.436,170,Putumayo,Colombia,2022/09/11 05:20:45+00,0.436,-75.5277,21751,785
-75.6674,4.461,171,Quindio,Colombia,2022/09/11 05:20:45+00,4.461,-75.6674,72681,2076
-75.9928,5.3158,172,Risaralda,Colombia,2022/09/11 05:20:45+00,5.3158,-75.9928,109436,2496
-81.7185,12.5567,173,San Andres y Providencia,Colombia,2022/09/11 05:20:45+00,12.5567,-81.7185,10333,156
-73.6536,6.6437,174,Santander,Colombia,2022/09/11 05:20:45+00,6.6437,-73.6536,293238,8291
-74.7233,8.814,175,Sucre,Colombia,2022/09/11 05:20:45+00,8.814,-74.7233,66906,1738
-75.1545,4.0925,176,Tolima,Colombia,2022/09/11 05:20:45+00,4.0925,-75.1545,126837,4067
,,177,Unknown,Colombia,2022/09/11 05:20:45+00,,,0,362
-76.6413,3.8009,178,Valle del Cauca,Colombia,2022/09/11 05:20:45+00,3.8009,-76.6413,563327,15322
-70.812,0.8554,179,Vaupes,Colombia,2022/09/11 05:20:45+00,0.8554,-70.812,1949,22
-69.2878,4.4234,180,Vichada,Colombia,2022/09/11 05:20:45+00,4.4234,-69.2878,3459,64
43.3333,-11.6455,181,,Comoros,2022/09/11 05:20:45+00,-11.6455,43.3333,8455,161
15.8277,-0.228,182,,Congo (Brazzaville),2022/09/11 05:20:45+00,-0.228,15.8277,24837,386
21.7587,-4.0383,183,,Congo (Kinshasa),2022/09/11 05:20:45+00,-4.0383,21.7587,92751,1422
-83.7534,9.7489,184,,Costa Rica,2022/09/11 05:20:45+00,9.7489,-83.7534,1097629,8893
-5.5471,7.54,185,,Cote d'Ivoire,2022/09/11 05:20:45+00,7.54,-5.5471,86919,822
15.2,45.1,186,,Croatia,2022/09/11 05:20:45+00,45.1,15.2,1220015,16792
-77.781167,21.521757,187,,Cuba,2022/09/11 05:20:45+00,21.521757,-77.781167,1110858,8530
33.4299,35.1264,188,,Cyprus,2022/09/11 05:20:45+00,35.1264,33.4299,579899,1173
15.473,49.8175,189,,Czechia,2022/09/11 05:20:45+00,49.8175,15.473,4059173,40906
9.5018,56.2639,190,,Denmark,2022/09/11 05:20:45+00,56.2639,9.5018,3280052,6968
-6.9118,61.8926,191,Faroe Islands,Denmark,2022/09/11 05:20:45+00,61.8926,-6.9118,34658,28
-42.6043,71.7069,192,Greenland,Denmark,2022/09/11 05:20:45+00,71.7069,-42.6043,11971,21
,,193,,Diamond Princess,2022/09/11 05:20:45+00,,,712,13
42.5903,11.8251,194,,Djibouti,2022/09/11 05:20:45+00,11.8251,42.5903,15690,189
-61.371,15.415,195,,Dominica,2022/09/11 05:20:45+00,15.415,-61.371,14852,68
-70.1627,18.7357,196,,Dominican Republic,2022/09/11 05:20:45+00,18.7357,-70.1627,641677,4384
-78.1834,-1.8312,197,,Ecuador,2022/09/11 05:20:45+00,-1.8312,-78.1834,998202,35876
30.802498,26.820553,198,,Egypt,2022/09/11 05:20:45+00,26.820553,30.802498,515645,24796
-88.8965,13.7942,199,,El Salvador,2022/09/11 05:20:45+00,13.7942,-88.8965,201785,4227
10.2679,1.6508,200,,Equatorial Guinea,2022/09/11 05:20:45+00,1.6508,10.2679,16965,183
39.7823,15.1794,201,,Eritrea,2022/09/11 05:20:45+00,15.1794,39.7823,10163,103
25.0136,58.5953,202,,Estonia,2022/09/11 05:20:45+00,58.5953,25.0136,598636,2657
31.4659,-26.5225,203,,Eswatini,2022/09/11 05:20:45+00,-26.5225,31.4659,73368,1422
40.4897,9.145,204,,Ethiopia,2022/09/11 05:20:45+00,9.145,40.4897,493340,7572
178.065,-17.7134,205,,Fiji,2022/09/11 05:20:45+00,-17.7134,178.065,68207,878
25.748151,61.92411,206,,Finland,2022/09/11 05:20:45+00,61.92411,25.748151,1271516,5768
2.2137,46.2276,207,,France,2022/09/11 05:20:45+00,46.2276,2.2137,33718369,150991
-53,4,208,French Guiana,France,2022/09/11 05:20:45+00,4,-53,93735,408
-149.4068,-17.6797,209,French Polynesia,France,2022/09/11 05:20:45+00,-17.6797,-149.4068,76520,649
-61.551,16.265,210,Guadeloupe,France,2022/09/11 05:20:45+00,16.265,-61.551,191997,986
-61.0242,14.6415,211,Martinique,France,2022/09/11 05:20:45+00,14.6415,-61.0242,215582,1022
